Campaign Name	Ad Group Name	Customer Search Term	Keyword	Match Type	First Day of Impression	Last Day of Impression	Impressions	Clicks	CTR	Total Spend	Average CPC	ACoS	Currency	Orders placed within 1 week of a click	Product Sales within 1 week of a click	Conversion Rate within 1 week of a click	Same SKU units Ordered within 1 week of click	Other SKU units Ordered within 1 week of click	Same SKU units Product Sales within 1 week of click	Other SKU units Product Sales within 1 week of click
Toys	binocs	little girl adult toys	girl toys	BROAD	10/22/2017	10/22/2017	2	2	100.000%	0.18	0.09	0.00%	USD	0	0.00	0.000%	0	0	0.00	0.00
Toys	binocs	baby girl 1st christmas toys	girl toys	BROAD	10/13/2017	10/14/2017	1	1	100.000%	0.23	0.23	1.77%	USD	1	12.99	100.000%	1	0	12.99	0.00
Toys	binocs	top toys for 7 year old boys	boy toys	BROAD	10/21/2017	10/21/2017	1	1	100.000%	0.60	0.60	0.00%	USD	0	0.00	0.000%	0	0	0.00	0.00
Toys	binocs	2years old boy toys	boy toys	BROAD	10/18/2017	10/18/2017	3	1	33.333%	0.37	0.37	0.00%	USD	0	0.00	0.000%	0	0	0.00	0.00
Toys	binocs	educational toys for 4 year old boys	boy toys	BROAD	10/22/2017	10/22/2017	4	1	25.000%	0.53	0.53	0.00%	USD	0	0.00	0.000%	0	0	0.00	0.00
Toys	binocs	educational toys for 4 5 year old boys	boy toys	BROAD	10/11/2017	10/18/2017	2	1	50.000%	0.54	0.54	0.00%	USD	0	0.00	0.000%	0	0	0.00	0.00
Toys	binocs	boys toys age 6-8	boy toys	BROAD	10/10/2017	10/20/2017	10	1	10.000%	0.50	0.50	3.85%	USD	1	12.99	100.000%	1	0	12.99	0.00
Toys	binocs	toys for 6 year old boys	boy toys	BROAD	10/11/2017	10/23/2017	23	1	4.348%	0.45	0.45	0.00%	USD	0	0.00	0.000%	0	0	0.00	0.00
Toys	binocs	boy scout toys	boy toys	BROAD	10/12/2017	10/23/2017	7	1	14.286%	0.10	0.10	0.77%	USD	1	12.99	100.000%	0	1	0.00	12.99
Toys	binocs	outside digging toys	outside toys	BROAD	10/23/2017	10/23/2017	1	1	100.000%	0.15	0.15	0.00%	USD	0	0.00	0.000%	0	0	0.00	0.00
